Model,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.05313700384122919,0.8736842105263158,0.10018105009052504,0.9618504434817429
XGBoost,0.5,0.8,0.6153846153846154,0.9685572512772106
Isolation Forest,0.20212765957446807,0.2,0.20105820105820105,0.5993380522850436
